	Category_1	Category_2	Category_3	Category_4
Elektrik-->Frontend_Motorraum-->Zündspulen_Starter_Generator-->Starter	18.0			
Elektrik-->Innenraum 12V/48V-->Anzeigeelemente-->	10.0			
Elektrik-->Innenraum 12V/48V-->Betätigungselemente-->	4.0			
Elektrik-->Innenraum 12V/48V-->Steuergeräte sonstige-->	2.0			
Elektrik-->Innenraum-->-->	141.0			
Elektrik-->Innenraum-->Anzeigegeräte-->	14.0			
Elektrik-->Innenraum-->Bedienelemente_Lenkrad-->	21.0			
Elektrik-->Innenraum-->Lautsprecher-->	18.0			
Elektrik-->Innenraum-->Parkassistent-->	2.0			
Elektrik-->Innenraum-->Scheinwerfer_Blinker-->	1.0			
Elektrik-->Karosseriemechatronik-->Airbagsysteme-->	1.0			
Elektrik-->Karosseriemechatronik-->Wischeranlage-->	9.0			
Elektrik-->Kofferraum_Heckklappe-->-->	247.0			
Elektrik-->Kofferraum_Heckklappe-->Antennen-->	7.0			
Elektrik-->Kofferraum_Heckklappe-->Assistenzsysteme-->	28.0			
Elektrik-->Kofferraum_Heckklappe-->Assistenzsysteme-->Antrieb_Heckwischer	3.0			
Elektrik-->Kofferraum_Heckklappe-->Außenspiegel-->	2.0			
Elektrik-->Kofferraum_Heckklappe-->Heckleuchten_Bremsleuchte-->	229.0			
Elektrik-->Kofferraum_Heckklappe-->Heckleuchten_Bremsleuchte-->links	11.0			
Elektrik-->Kofferraum_Heckklappe-->Heckleuchten_Bremsleuchte-->rechts	13.0			
Elektrik-->Kofferraum_Heckklappe-->Scheinwerfer_Blinker-->	6.0			
Elektrik-->Kofferraum_Heckklappe-->Wischeranlage-->	1.0			
Elektrik-->Kofferraum_Heckklappe-->Zündspulen_Starter_Generator-->	3.0			
Elektrik-->Steuergeräte-->-->	36.0			
Elektrik-->Steuergeräte-->Airbag-->	3.0			
Elektrik-->Türen-->-->	144.0			
Elektrik-->Türen-->Außenspiegel-->	123.0			
Elektrik-->Türen-->Außenspiegel-->links	5.0			
Elektrik-->Türen-->Außenspiegel-->rechts	12.0			
Elektrik-->Türen-->Leitungssatz-->	1.0			
Elektrik-->Türen-->Scheinwerfer_Blinker-->	1.0			
Elektrik-->Türen-->Wischeranlage-->	1.0			
